,accession,strain
621,AM939578,H0-6314-248-06
622,AM939579,EP/2353/02
623,AM939580,EP/2405/01
624,AM939581,EP/2826/02
625,AM939582,EP/3267/02
626,AM939583,EP/5622/99
627,AM939584,EP/5746/01
628,AM939585,EP/7414/99
629,AM939586,EP/8277/01
630,AM939587,EP/8300/04
631,AM939588,EP/9027/99
632,AM939589,EP/11052/01
633,AM939590,EP/11168/00
634,AM939591,EP/12081/01
635,AM939592,EP/13372/98
636,AM939593,EP/17728/98
637,AM939594,EP/449/00
638,AM939595,EP/12105/01
639,AM939596,EP/4709/01
640,AM939597,STH/MCN/06
