,accession,strain
5899,MW179399,LZ2017-185-EV71
5900,MW179401,CD2017-204-EV71
5901,MW179402,GA2017-231-EV71
5902,MW179403,GA2017-233-EV71
5903,MW179404,GY2017-290-EV71
5904,MW179405,GY2017-291-EV71
5905,MW179407,MY2017-01-EV71
5906,MW179408,MY2017-03-EV71
5907,MW179409,MY2017-04-EV71
5908,MW179410,MY2017-05-EV71
5909,MW179411,MY2017-07-EV71
5910,MW179412,MY2017-09-EV71
5911,MW179414,ZG2017-09-EV71
5912,MW179415,ZG2017-11-EV71
5913,MW179416,ZG2017-12-EV71
5914,MW179417,ZG2017-13-EV71
5915,MW179418,ZG2017-23-EV71
5916,MW179421,ZY2017-12-EV71
5917,MW179400,CD2017-200-EV71
5918,MW179406,GY2017-292-EV71
5919,MW179247,MY2014-186-EV71
5920,MW179241,MY2014-153-EV71
5921,MW179242,MY2014-154-EV71
5922,MW179264,NC2014-314-EV71
5923,MW179234,NJ2014-032-EV71
5924,MW179249,NJ2014-210-EV71
5925,MW179286,YB2015-226-EV71
5926,MW179263,YB2014-296-EV71
5927,MW179350,ZG2016-44-EV71
5928,MW179344,ZG2016-35-EV71
5929,MW179342,ZG2016-27-EV71
5930,MW179329,ZG2016-02-EV71
5931,MW179349,ZG2016-42-EV71
5932,MW179347,ZG2016-40-EV71
5933,MW179311,ZG2016-229-EV71
5934,MW179338,ZG2016-15-EV71
5935,MW179243,MY2014-169-EV71
5936,MW179244,MY2014-170-EV71
5937,MW179245,MY2014-172-EV71
5938,MW179246,MY2014-175-EV71
5939,MW179420,ZY2017-11-EV71
5940,MW179419,ZY2017-08-EV71
5941,MW179325,DY2016-341-EV71
5942,MW179422,ZY2017-21-EV71
5943,MW179371,NJ2017-032-EV71
5944,MW179413,ZG2017-01-EV71
5945,MW179303,LZ2016-085-EV71
5946,MW179343,ZG2016-34-EV71
5947,MW179304,LZ2016-090-EV71
5948,MW179314,LES2016-252-EV71
5949,MW179345,ZG2016-36-EV71
5950,MW179313,LES2016-249-EV71
5951,MW179323,NJ2016-293-EV71
5952,MW196699,EVA71/COR/ARG/Dec_2017/7
5953,MW354736,CU3545
5954,MW354737,CU3426
5955,MW354738,CU3462
5956,MW354739,CU3529
5957,MW354740,CU3472
5958,MW354741,CU3405
5959,MW354742,CU3418
5960,MW354743,CU3312
5961,MW354744,CU3399
5962,MW354745,CU3414
5963,MW354746,CU3485
5964,MW473684,SD92-41
5965,MW731999,EV-A71/human/Germany/LE-A32GBD6/2013
5966,MW732000,EV-A71/human/Germany/LE-A52GBB0/2015
5967,MW732001,EV-A71/human/Germany/LE-A53FBH5/2015
5968,OK570251,MAD-3126-2011
5969,OK605915,IAL_EVNP_41/19
5970,OM417111,EV71/TH/MUMT-1/2016
5971,OM417112,EV71/TH/MUMT-2/2016
5972,OM417113,EV71/TH/MUMT-3/2016
5973,OM417114,EV71/TH/MUMT-4/2016
5974,OM417115,EV71/TH/MUMT-5/2016
5975,ON191506,EV_A71/2016-085
5976,ON191507,EV_A71/2016-200
5977,ON191508,EV_A71/2016-248
5978,ON191509,EV_A71/2016-419
5979,ON191510,EV_A71/2018-1059
5980,ON191511,EV_A71/2019-394
5981,ON191512,EV_A71/2019-196
5982,OP672343,
5983,OP672344,
5984,OP672346,
5985,OP672347,
5986,OP672348,
5987,OP672349,
5988,OP672350,
5989,OP672351,
5990,OP672352,
5991,OP672353,
5992,OP672354,
5993,OP672358,
5994,OP672361,
5995,OP672362,
5996,OP672363,
5997,OP762480,
5998,OR766760,
5999,OR766761,
6000,OR766762,
6001,OR766763,
6002,OR766764,
6003,OR766765,
6004,OR766766,
6005,OR766768,
6006,OR766769,
6007,OR766770,
6008,OR766771,
6009,OR766774,
6010,OR791508,
6011,OR791509,
6012,OR791510,
6013,OR822244,
6014,PP858877,2442_2024_AFP case
6015,U22522,7423-MS-87
6016,AB059817,1095/Japan 97
6017,AB239756,1095/Japan 97
6018,AB550338,75-Yamagata
6019,AB550340,KED005
6020,AB550334,SK-EV006
6021,AB550336,C7/Osaka
6022,AB550332,1095
6023,MK904809,87-2008 Xi'an Shaanxi
6024,MT258869,18/YN/2018AFP
6025,AB740168,183-YN-2010AFP
6026,AB740167,176-YN-2010AFP
6027,AB740166,166-YN-2010AFP
6028,JQ886662,31-YN-2007AFP
6029,JQ886661,15-YN-2007AFP.
6030,AB268281,111-04
6031,JQ715713,JL-AFP-EV71-07-3
6032,JQ715712,JL-AFP-EV71-07-1
6033,JQ715711,JL-AFP-EV71-06
6034,AY321117,1207
6035,AY321116,1207
6036,JQ969004,206-YN-2008AFP
6037,JQ969003,86-YN-2008AFP
6038,JQ969002,64-YN-2008AFP
6039,LC707470,245-QJ-YN-CHN-2021-EV-A71
6040,LC707455,206-QJ-YN-CHN-2021-EV-A71
6041,LC707454,204-QJ-YN-CHN-2021-EV-A71
6042,LC707451,194-QJ-YN-CHN-2021-EV-A71
6043,LC707447,188-QJ-YN-CHN-2021-EV-A71
6044,LC707443,172-QJ-YN-CHN-2021-EV-A71
6045,LC707442,171-QJ-YN-CHN-2021-EV-A71
6046,LC707441,170-QJ-YN-CHN-2021-EV-A71
6047,LC707429,141-QJ-YN-CHN-2021-EV-A71
6048,LC707422,113-QJ-YN-CHN-2021-EV-A71
6049,LC707417,96-QJ-YN-CHN-2021-EV-A71
6050,LC707413,85-QJ-YN-CHN-2021-EV-A71
6051,LC707858,245-QJ-YN-HN-2021
6052,LC707843,206-QJ-YN-HN-2021
6053,LC707842,204-QJ-YN-HN-2021
6054,LC707839,194-QJ-YN-HN-2021
6055,LC707835,188-QJ-YN-HN-2021
6056,LC707831,172-QJ-YN-HN-2021
6057,LC707830,171-QJ-YN-HN-2021
6058,LC707829,170-QJ-YN-HN-2021
6059,LC707817,141-QJ-YN-HN-2021
6060,LC707810,113-QJ-YN-HN-2021
6061,LC707805,96-QJ-YN-HN-2021
6062,LC707801,85-QJ-YN-HN-2021
6063,MW139744,VND18/233_VNM_2018
6064,MW139743,GS19/329_VNM_2019
6065,MW139742,GS19/107_VNM_2019
6066,MW139741,GS19/42_VNM_2019
6067,MW139740,GS19/359_VNM_2019
6068,MW139739,GS19/275_VNM_2019
6069,MW139738,VND19/56_VNM_2019
6070,MW139737,VND19/53_VNM_2019
6071,MW139736,VND19/34_VNM_2019
6072,MW139735,VND19/21_VNM_2019
6073,MW139734,VND19/09_VNM_2019
6074,MW139733,VND19/02_VNM_2019
6075,MW139732,VND19/01_VNM_2019
6076,MW139731,GS18/1295_VNM_2018
6077,MW139730,GS18/1290_VNM_2018
6078,MW139729,GS18/1289_VNM_2018
6079,MW139728,GS18/1225_VNM_2018
6080,MW139727,GS18/1223_VNM_2018
6081,MW139726,GS18/1161_VNM_2018
6082,MW139725,GS18/1150_VNM_2018
6083,MW139724,GS18/1148_VNM_2018
6084,MW139723,GS18/1086_VNM_2018
6085,MW139722,GS18/1082_VNM_2018
6086,MW139721,GS18/1074_VNM_2018
6087,MW139720,GS18/1034_VNM_2018
6088,MW139719,GS18/1026_VNM_2018
6089,MW139718,GS18/1011_VNM_2018
6090,MW139717,GS18/742_VNM_2018
6091,MW139716,GS18/704_VNM_2018
6092,MW139715,GS18/701_VNM_2018
6093,MW139714,GS18/668_VNM_2018
6094,MW139713,GS18/664_VNM_2018
6095,MW139712,GS18/538_VNM_2018
6096,MW139711,VND18/237_VNM_2018
6097,MW139710,VND18/235_VNM_2018
6098,MW139709,VND18/230_VNM_2018
6099,MW139708,VND18/227_VNM_2018
6100,MW139707,VND18/216_VNM_2018
6101,MW139706,VND18/189_VNM_2018
6102,MW139705,VND18/187_VNM_2018
6103,MW139704,VND18/177_VNM_2018
6104,MW139703,VND18/176_VNM_2018
6105,MW139702,VND18/172_VNM_2018
6106,MW139701,VND18/150_VNM_2018
6107,MW139700,VND18/146_VNM_2018
6108,MW139699,VND18/145_VNM_2018
6109,MW139698,VND18/143_VNM_2018
6110,MW139697,VVND18/78_VNM_2018
6111,MW139696,VND18/44_VNM_2018
6112,MW139695,VND18/39_VNM_2018
6113,MW139694,VND18/28_VNM_2018
6114,MW139693,VND18/26_VNM_2018
6115,MW139692,GS19/276_VNM_2019
6116,MW139691,VND18/231_VNM_2018
6117,MW139690,VND18/192_VNM_2018
6118,MW139689,VND18/148_VNM_2018
6119,MW139688,VND18/147_VNM_2018
6120,MW139687,VND18/110/18_VNM_2018
6121,MW132457,1921_Rostov_RUS_2015
6122,MW132454,1405_Smolensk_RUS_2015
6123,LC481441,A373-YN-CHN-2018
6124,LC481440,A351-YN-CHN-2018
6125,MH557214,EVH020RS/NHP
6126,MH557213,EVH015RS/NHP
6127,MH557212,EVH011RS/NHP
6128,MH557211,EVH010RS/NHP
6129,MH557210,EVH006RS/NHP
6130,MH557209,EVH004RS/NHP
6131,MH557208,478RS/NHP
6132,MH557207,476TS/NHP
6133,MH557206,475RS/NHP
6134,MH557205,474TS/NHP
6135,MH557204,467RS/NHP
6136,MH557203,462RS/NHP
6137,MH557202,459RS/NHP
6138,MH557201,456TS/NHP
6139,MH557200,455TS/NHP
6140,MH557199,453TS/NHP
6141,MH557198,450TS/NHP
6142,MH557197,449TS/NHP
6143,MH557196,447TS/NHP
6144,MH557195,446RS/NHP
6145,MH557194,442TS/NHP
6146,MH557193,436TS/NHP
6147,MH557192,435TS/NHP
6148,MH557191,427TS/NHP
6149,MH557190,417TS/NHP
6150,MH557189,415TS/NHP
6151,MH557188,414TS/NHP
6152,MH557187,407TS/NHP
6153,MH557186,401RS/NHP
6154,MH557185,400TS/NHP
6155,MH557184,399TS/NHP
6156,MH557183,391TS/NHP
6157,MH557182,388TS/NHP
6158,MH557181,379TS/NHP
6159,MH557180,373TS/NHP
6160,MH557179,372TS/NHP
6161,MH557178,339TS/NHP
6162,MH557177,337TS/NHP
6163,MH557176,314TS/NHP
6164,MH557175,311TS/NHP
6165,MH557174,293TS/NHP
6166,MH557173,292TS/NHP
6167,MH557172,288TS/NHP
6168,MH557171,234TS/NHP
6169,MH557170,231TS/NHP
6170,MH557169,226RS/NHP
6171,MH557168,198TS/NHP
6172,MH557167,197TS/NHP
6173,MH557166,176TS/NHP
6174,MH557165,175TS/NHP
6175,MH557164,174TS/NHP
6176,MH557163,167TS/NHP
6177,MH557162,164TS/NHP
6178,MH557161,157TS/NHP
6179,MH557160,152TS/NHP
6180,MH557159,151TS/NHP
6181,MH557158,145RS/NHP
6182,MH557157,144TS/NHP
6183,MH557156,142TS/NHP
6184,MH557155,140TS/NHP
6185,MH557154,139RS/NHP
6186,MH557153,138TS/NHP
6187,MH557152,132RS/NHP
6188,MH557151,130TS/NHP
6189,MH557150,129TS/NHP
6190,MH557149,128TS/NHP
6191,MH557148,125TS/NHP
6192,MH557147,124TS/NHP
6193,MH557146,120TS/NHP
6194,MH557145,119TS/NHP
6195,MH557144,115TS/NHP
6196,MH557143,113TS/NHP
6197,MH557142,109RS/NHP
6198,MH557141,108TS/NHP
6199,MH557140,107TS/NHP
6200,MH557139,106RS/NHP
6201,MH557138,105RS/NHP
6202,MH557137,101TS/NHP
6203,MH557136,100TS/NHP
6204,MH557135,099RS/NHP
6205,MH557134,096TS/NHP
6206,MH557133,095TS/NHP
6207,MH557132,094TS/NHP
6208,MH557131,093TS/NHP
6209,MH557130,091TS/NHP
6210,MH557129,090TS/NHP
6211,MH557128,089TS/NHP
6212,MH557127,088TS/NHP
6213,MH557126,087TS/NHP
6214,MH557125,085TS/NHP
6215,MH557124,083TS/NHP
6216,MH557123,082TS/NHP
6217,MH557122,081RS/NHP
6218,MH557121,079TS/NHP
6219,MH557120,077RS/NHP
6220,MH557119,076RS/NHP
6221,MH557118,072TS/NHP
6222,MH557117,069TS/NHP
6223,MH557116,045TS/NHP
6224,MH557115,038TS/NHP
6225,MH557114,034TS/NHP
6226,MH557113,033TS/NHP
6227,MH557112,031TS/NHP
6228,MH557111,030TS/NHP
6229,MH557110,028RS/NHP
6230,MH557109,027RS/NHP
6231,MH557108,023TS/NHP
6232,MH557107,019TS/NHP
6233,MH557106,014TS/NHP
6234,MH557105,013RS/NHP
6235,MH557104,012TS/NHP
6236,MH557103,011RS/NHP
6237,MH557102,009TS/NHP
6238,MH557101,007TS/NHP
6239,MH557100,004TS/NHP
6240,MH557099,003TS/NHP
6241,MH557098,002TS/NHP
6242,MH557097,001TS/NHP
6243,MF362981,GZ203KL21/GD/CHN/2010
6244,MG208882,EV71/SHENZHEN001/2006
6245,KU888174,C5-98TS-2008_Vietnam:HoChiMinh_2008-06-15
6246,KU888173,C5-97VS-2008_Vietnam:DongNai_2008-05-15
6247,KU888172,C4-97TS-2012_Vietnam:LongAn_2011-12-31
6248,KU888171,C5-95TS-2008_Vietnam:HoChiMinh_2008-06-15
6249,KU888170,C4-950S-2012_Vietnam:AnGiang_2012-10-08
6250,KU888169,C4-94TS-2012_Vietnam:HoChiMinh_2011-12-30
6251,KU888168,C5-94TS-2008_Vietnam:HoChiMinh_2008-06-15
6252,KU888167,C4-938S-2012_Vietnam:AnGiang_2012-09-29
6253,KU888166,C4-913TS-2011_Vietnam:BinhDuong_2011-08-08
6254,KU888165,C4-912TS-2011_Vietnam:HoChiMinh_2011-08-08
6255,KU888164,C4-910TS-2011_Vietnam:TienGiang_2011-08-07
6256,KU888163,C4-90TS-2011_Vietnam:TienGiang_2011-05-25
6257,KU888162,C4-8TS-2011_Vietnam:HoChiMinh_2011-03-17
6258,KU888161,C4-8S-2011_Vietnam:HoChiMinh_2011-03-17
6259,KU888160,C4-896TS-2011_Vietnam:AnGiang_2011-08-09
6260,KU888159,C4-885TS-2011_Vietnam:BinhPhuoc_2011-08-09
6261,KU888158,B5-855S-2012_Vietnam:AnGiang_2012-09-24
6262,KU888157,C4-830TS-2011_Vietnam:HoChiMinh_2011-07-30
6263,KU888156,C4-82TS-2011_Vietnam:BinhDuong_2011-05-23
6264,KU888155,C5-81TS-2011_Vietnam:BinhDuong_2011-05-23
6265,KU888154,B5-805S-2012_Vietnam:AnGiang_2012-09-10
6266,KU888153,C4-794TS-2011_Vietnam:BaRia_2011-07-28
6267,KU888152,C5-77S-2008_Vietnam:DakLak_2008-05-15
6268,KU888151,C4-774S-2012_Vietnam:AnGiang_2012-08-25
6269,KU888150,C5-75TS-2008_Vietnam:HoChiMinh_2008-06-15
6270,KU888149,C5-74TS-2008_Vietnam:KonTum_2008-06-15
6271,KU888148,B5-746P-2013_Vietnam:AnGiang_2013-12-07
6272,KU888147,B5-744N-2013_Vietnam:BaRia_2013-12-22
6273,KU888146,C4-739S-2012_Vietnam:BenTre_2012-08-27
6274,KU888145,C4-725TS-2011_Vietnam:BenTre_2011-07-25
6275,KU888144,C5-71S-2007_Vietnam:DongNai_2007-10-15
6276,KU888143,B5-714P-2013_Vietnam:AnGiang_2013-12-02
6277,KU888142,B5-713P-2013_Vietnam:AnGiang_2013-11-30
6278,KU888141,B5-710S-2012_Vietnam:AnGiang_2012-08-21
6279,KU888140,B5-705P-2013_Vietnam:VinhLong_2013-11-27
6280,KU888139,B5-703P-2013_Vietnam:VinhLong_2013-11-26
6281,KU888138,B5-702P-2013_Vietnam:VinhLong_2013-11-26
6282,KU888137,C4-701TS-2011_Vietnam:HoChiMinh_2011-07-25
6283,KU888136,B5-701P-2013_Vietnam:VinhLong_2013-11-26
6284,KU888135,C5-6V-2008_Vietnam:LamDong_2008-01-15
6285,KU888134,C5-69TS-2008_Vietnam:HoChiMinh_2008-06-15
6286,KU888133,C5-68S-2007_Vietnam:DongNai_2007-10-15
6287,KU888132,B5-682P-2013_Vietnam:AnGiang_2013-11-17
6288,KU888131,B5-680P-2013_Vietnam:AnGiang_2013-11-18
6289,KU888130,B5-675P-2013_Vietnam:VinhLong_2013-11-12
6290,KU888129,C4-673S-2004_Vietnam:VinhLong_2005-01-12
6291,KU888128,B5-673P-2013_Vietnam:VinhLong_2013-11-15
6292,KU888127,C5-669S-2004_Vietnam:TienGiang_2004-12-12
6293,KU888126,B5-668P-2013_Vietnam:AnGiang_2013-11-03
6294,KU888125,C5-667S-2004_Vietnam:BenTre_2004-12-11
6295,KU888124,C4-665S-2011_Vietnam:DongNai_2011-07-20
6296,KU888123,B5-664P-2013_Vietnam:AnGiang_2013-10-23
6297,KU888122,C4-660S-2004_Vietnam:HoChiMinh_2004-12-08
6298,KU888121,C4-65S-2011_Vietnam:DongNai_2011-05-18
6299,KU888120,C5-65S-2007_Vietnam:AnGiang_2007-10-15
6300,KU888119,C5-658S-2004_Vietnam:DongNai_2004-12-03
6301,KU888118,C5-656S-2004_Vietnam:DongNai_2004-11-28
6302,KU888117,C5-651S-2004_Vietnam:HoChiMinh_2004-11-11
6303,KU888116,C4-648S-2004_Vietnam:HoChiMinh_2004-11-03
6304,KU888115,C4-647S-2004_Vietnam:TienGiang_2004-11-04
6305,KU888114,C4-63N-2013_Vietnam:LongAn_2013-01-27
6306,KU888113,C4-639S-2004_Vietnam:HoChiMinh_2004-09-14
6307,KU888112,C5-638S-2004_Vietnam:HoChiMinh_2004-09-16
6308,KU888111,C4-636S-2004_Vietnam:HoChiMinh_2004-09-11
6309,KU888110,B5-634P-2013_Vietnam:VinhLong_2013-10-23
6310,KU888109,C5-62TS-2007_Vietnam:DongNai_2007-09-15
6311,KU888108,B5-622P-2013_Vietnam:AnGiang_2013-10-02
6312,KU888107,C5-61S-2007_Vietnam:DongNai_2007-09-15
6313,KU888106,C4-619TS-2011_Vietnam:BacLieu_2011-07-19
6314,KU888105,C4-614TS-2011_Vietnam:HoChiMinh_2011-07-18
6315,KU888104,B5-611P-2013_Vietnam:BenTre_2013-10-07
6316,KU888103,B5-607N-2013_Vietnam:BaRia_2013-10-04
6317,KU888102,C5-606S-2004_Vietnam:AnGiang_2004-07-19
6318,KU888101,C5-605S-2004_Vietnam:HoChiMinh_2004-07-22
6319,KU888100,C5-603TS-2010_Vietnam:HoChiMinh_2010-07-31
6320,KU888099,C5-59S-2007_Vietnam:DongNai_2007-09-15
6321,KU888098,B5-598P-2013_Vietnam:AnGiang_2013-09-23
6322,KU888097,C4-595S-2004_Vietnam:HoChiMinh_2004-06-26
6323,KU888096,C5-58V-2007_Vietnam:DongNai_2007-09-15
6324,KU888095,B5-588N-2013_Vietnam:LongAn_2013-09-29
6325,KU888094,C5-586TS-2010_Vietnam:KienGiang_2010-07-22
6326,KU888093,B5-580P-2013_Vietnam:VinhLong_2013-09-20
6327,KU888091,B5-576P-2013_Vietnam:VinhLong_2013-09-16
6328,KU888090,B5-542N-2013_Vietnam:BaRia_2013-09-06
6329,KU888088,C4-5728S-2005_Vietnam:HoChiMinh_2005-05-16
6330,KU888087,C4-5718S-2005_Vietnam:HoChiMinh_2005-05-09
6331,KU888086,C5-56S-2011_Vietnam:DongThap_2011-05-12
6332,KU888085,C5-56S-2007_Vietnam:DongNai_2007-09-15
6333,KU888084,C4-569TS-2011_Vietnam:HoChiMinh_2011-07-15
6334,KU888083,C4-568TS-2011_Vietnam:HoChiMinh_2011-07-15
6335,KU888082,C4-560TS-2011_Vietnam:DaNang_2011-07-13
6336,KU888081,C5-558S-2004_Vietnam:BenTre_2004-05-11
6337,KU888080,C4-5540V-2005_Vietnam:HoChiMinh_2005-03-10
6338,KU888079,B5-542N-2013_Vietnam:BaRia_2013-08-27
6339,KU888078,C5-53S-2008_Vietnam:HoChiMinh_2008-05-15
6340,KU888077,C4-537TS-2011_Vietnam:DongNai_2011-07-14
6341,KU888076,C5-5374TS-2005_Vietnam:HoChiMinh_2005-10-27
6342,KU888075,C4-535TS-2011_Vietnam:HoChiMinh_2011-07-15
6343,KU888074,B5-535P-2013_Vietnam:AnGiang_2013-08-28
6344,KU888073,B5-530P-2013_Vietnam:VinhLong_2013-08-26
6345,KU888072,B5-527P-2013_Vietnam:DongThap_2013-08-23
6346,KU888071,C5-51TS-2008_Vietnam:DongNai_2008-05-15
6347,KU888070,C4-505TS-2011_Vietnam:HoChiMinh_2011-07-11
6348,KU888069,C4-504TS-2011_Vietnam:DongNai_2011-07-11
6349,KU888068,C4-486TS-2011_Vietnam:BaRia_2011-07-09
6350,KU888067,C5-47S-2008_Vietnam:HoChiMinh_2008-05-15
6351,KU888066,C4-476TS-2012_Vietnam:TienGiang_2012-06-14
6352,KU888065,C5-472S-2010_Vietnam:DongNai_2010-05-30
6353,KU888064,C4-468S-2011_Vietnam:BinhDuong_2011-07-09
6354,KU888063,B5-463N-2013_Vietnam:LongAn_2013-06-24
6355,KU888062,C4-45S-2011_Vietnam:DongNai_2011-05-07
6356,KU888061,C5-45S-2007_Vietnam:DongNai_2007-07-15
6357,KU888060,C5-457TS-2010_Vietnam:HoChiMinh_2010-05-27
6358,KU888059,B5-456P-2013_Vietnam:TienGiang_2013-07-02
6359,KU888058,C5-450TS-2010_Vietnam:BaRia_2010-05-25
6360,KU888057,C4-446S-2011_Vietnam:BaRia_2011-07-04
6361,KU888056,C4-445TS-2011_Vietnam:HoChiMinh_2011-07-04
6362,KU888055,C4-444TS-2011_Vietnam:BenTre_2011-07-04
6363,KU888054,B5-439P-2013_Vietnam:TienGiang_2013-06-24
6364,KU888053,C5-42S-2008_Vietnam:HoChiMinh_2008-05-15
6365,KU888052,C5-42S-2007_Vietnam:DakNong_2007-07-15
6366,KU888051,C5-413S-2011_Vietnam:VinhLong_2011-07-06
6367,KU888050,C5-413S-2010_Vietnam:BinhPhuoc_2010-05-18
6368,KU888049,B5-406P-2013_Vietnam:VinhLong_2013-06-12
6369,KU888048,C4-405S-2011_Vietnam:BinhDuong_2011-07-05
6370,KU888047,B5-405P-2013_Vietnam:VinhLong_2013-06-18
6371,KU888046,C5-403S-2010_Vietnam:DongNai_2010-05-13
6372,KU888045,C4-39TS-2012_Vietnam:DongNai_2011-12-28
6373,KU888044,C4-398S-2011_Vietnam:CaMau_2011-07-05
6374,KU888043,C4-397TS-2012_Vietnam:LongAn_2012-05-28
6375,KU888042,C4-38S-2011_Vietnam:BinhDuong_2011-04-28
6376,KU888041,C5-38S-2007_Vietnam:BinhDuong_2007-07-15
6377,KU888040,B5-384P-2013_Vietnam:BenTre_2013-05-24
6378,KU888039,C4-379S-2012_Vietnam:AnGiang_2012-05-04
6379,KU888038,B5-379P-2013_Vietnam:BenTre_2013-06-07
6380,KU888037,B5-378P-2013_Vietnam:TienGiang_2013-06-07
6381,KU888036,C5-374VS-2003_Vietnam:HoChiMinh_2003-09-15
6382,KU888035,C5-374TS-2003_Vietnam:HoChiMinh_2003-09-15
6383,KU888034,C5-374S-2003_Vietnam:HoChiMinh_2003-09-15
6384,KU888033,C4-371S-2011_Vietnam:DongNai_2011-06-29
6385,KU888032,C4-368CSF-2011_Vietnam:DongNai_2011-06-30
6386,KU888031,C5-364S-2010_Vietnam:BinhDuong_2010-05-06
6387,KU888030,C4-363S-2011_Vietnam:DongThap_2011-06-30
6388,KU888029,B5-362S-2012_Vietnam:BenTre_2012-05-08
6389,KU888028,C5-357VS-2003_Vietnam:HoChiMinh_2003-09-15
6390,KU888027,C5-357S-2003_Vietnam:HoChiMinh_2003-09-15
6391,KU888026,C5-355S-2003_Vietnam:HoChiMinh_2003-09-15
6392,KU888025,C4-354TS-2012_Vietnam:TienGiang_2012-04-26
6393,KU888024,C5-354S-2003_Vietnam:LongAn_2003-09-15
6394,KU888023,C5-353S-2003_Vietnam:HoChiMinh_2003-09-15
6395,KU888022,C5-352S-2003_Vietnam:BinhThuan_2003-09-15
6396,KU888021,C5-350S-2010_Vietnam:DongNai_2010-04-24
6397,KU888020,C4-34S-2011_Vietnam:HoChiMinh_2011-04-25
6398,KU888019,C4-346TS-2011_Vietnam:LongAn_2011-06-26
6399,KU888018,C5-346S-2005_Vietnam:HoChiMinh_2005-10-05
6400,KU888017,C5-345VS-2003_Vietnam:HoChiMinh_2003-09-15
6401,KU888016,C4-345TS-2011_Vietnam:BaRia_2011-06-28
6402,KU888015,C5-345S-2005_Vietnam:HoChiMinh_2005-10-05
6403,KU888014,C5-345S-2003_Vietnam:HoChiMinh_2003-09-15
6404,KU888013,C5-344S-2010_Vietnam:BinhPhuoc_2010-04-22
6405,KU888012,C4-341TS-2012_Vietnam:AnGiang_2012-04-28
6406,KU888011,C4-339TS-2011_Vietnam:HoChiMinh_2011-06-27
6407,KU888010,C5-339TS-2005_Vietnam:HoChiMinh_2005-09-28
6408,KU888009,C5-337S-2010_Vietnam:HoChiMinh_2010-04-22
6409,KU888008,C4-334TS-2011_Vietnam:CanThao_2011-06-27
6410,KU888007,C4-332TS-2011_Vietnam:HoChiMinh_2011-06-25
6411,KU888006,C5-331S-2005_Vietnam:HoChiMinh_2005-09-22
6412,KU888005,C4-328TS-2011_Vietnam:DongNai_2011-06-23
6413,KU888004,C4-326TS-2011_Vietnam:HoChiMinh_2011-06-24
6414,KU888003,C5-324S-2005_Vietnam:HoChiMinh_2005-09-11
6415,KU888002,C4-31S-2011_Vietnam:HoChiMinh_2011-04-21
6416,KU888001,C4-318TS-2011_Vietnam:DongNai_2011-06-23
6417,KU888000,C4-310TS-2011_Vietnam:HoChiMinh_2011-06-22
6418,KU887999,C5-310S-2010_Vietnam:HoChiMinh_2010-04-15
6419,KU887998,C4-30S-2011_Vietnam:HoChiMinh_2011-04-21
6420,KU887997,C4-308TS-2011_Vietnam:TienGiang_2011-06-21
6421,KU887996,B5-304P-2013_Vietnam:VinhLong_2013-05-21
6422,KU887995,C4-303TS-2011_Vietnam:HoChiMinh_2011-06-23
6423,KU887994,B5-302P-2013_Vietnam:VinhLong_2013-05-15
6424,KU887993,C4-301TS-2011_Vietnam:BaRia_2011-06-21
6425,KU887992,C5-29S-2011_Vietnam:HoChiMinh_2011-04-21
6426,KU887991,C5-291TS-2010_Vietnam:BinhDuong_2010-04-09
6427,KU887990,C5-290TS-2011_Vietnam:HoChiMinh_2011-06-22
6428,KU887989,C4-28TS-2011_Vietnam:HoChiMinh_2011-04-21
6429,KU887988,C5-28S-2008_Vietnam:DongNai_2008-05-15
6430,KU887987,C5-28S-2007_Vietnam:DongNai_2007-06-15
6431,KU887986,C5-289VS-2003_Vietnam:TayNinh_2003-08-15
6432,KU887985,C5-288VS-2003_Vietnam:HoChiMinh_2003-08-15
6433,KU887984,C4-288TS-2012_Vietnam:AnGiang_2012-04-13
6434,KU887983,C4-288TS-2011_Vietnam:HoChiMinh_2011-06-19
6435,KU887982,C5-288S-2003_Vietnam:HoChiMinh_2003-08-15
6436,KU887981,C4-285S-2011_Vietnam:HoChiMinh_2011-06-20
6437,KU887980,C4-284TS-2011_Vietnam:BinhDuong_2011-06-20
6438,KU887979,C5-283TS-2011_Vietnam:TienGiang_2011-06-20
6439,KU887978,C4-280-2006_Vietnam:DaNang_2006-05-15
6440,KU887977,C4-27S-2011_Vietnam:HoChiMinh_2011-04-15
6441,KU887976,C5-27S-2007_Vietnam:HoChiMinh_2007-06-15
6442,KU887975,C4-279S-2012_Vietnam:CanTho_2012-04-12
6443,KU887974,B5-278N-2013_Vietnam:HoChiMinh_2013-05-16
6444,KU887973,C4-277TS-2011_Vietnam:DongThap_2011-06-17
6445,KU887972,C5-276S-2011_Vietnam:DongThap_2011-06-17
6446,KU887971,C5-276S-2003_Vietnam:TienGiang_2003-08-15
6447,KU887970,C5-275TS-2011_Vietnam:DongThap_2011-06-14
6448,KU887969,C5-274TS-2010_Vietnam:DongNai_2010-04-02
6449,KU887968,C5-26S-2007_Vietnam:DakNong_2007-06-15
6450,KU887967,B5-269P-2013_Vietnam:AnGiang_2013-05-13
6451,KU887966,C4-264TS-2011_Vietnam:BaRia_2011-06-16
6452,KU887965,C5-264S-2010_Vietnam:BaRia_2010-03-28
6453,KU887963,C4-259TS-2005_Vietnam:DongNai_2005-05-01
6454,KU887962,C4-259S-2011_Vietnam:DongNai_2011-06-11
